Caryota mitis	NC_029948
Castanea henryi	NC_033881
Castanea mollissima	NC_014674
Castanopsis concinna	NC_033409
Castanopsis echinocarpa	NC_023801
Castilleja paramensis	NC_031805
Catharanthus roseus	NC_021423
Cathaya argyrophylla	NC_014589
Cattleya crispata	NC_026568
Cattleya liliputana	NC_032083
Caulerpa cliftonii	NC_031368
Caulerpa racemosa	NC_032042
Cedrus deodara	NC_014575
Cenchrus americanus	NC_024171
Centaurea diffusa	NC_024286
Centotheca lappacea	NC_025229
Centropodia glauca	NC_029411
Centropogon granulosus	NC_035354
Cephalanthera humilis	NC_030706
Cephalanthera longifolia	NC_030704
Cephalotaxus oliveri	NC_021110
Cephalotaxus wilsoniana	NC_016063
Ceramium cimbricum	NC_031211
Ceramium japonicum	NC_031174
Cerataulina daemon	NC_025313
Ceratophyllum demersum	NC_009962
Ceratozamia hildae	NC_026037
Chaetoceros simplex	NC_025310
Chaetosphaeridium globosum	NC_004115
Chamaecyparis formosensis	NC_034943
Chamaerops humilis	NC_029967
Chamaetrichon capsulatum	NC_034714
Champereia manillana	NC_034931
Chara vulgaris	NC_008097
Characiochloris acuminata	NC_028584
Chasechloa egregia	NC_031299
Chasechloa madagascariensis	NC_033880
Chenopodium album	NC_034950
Chenopodium quinoa	NC_034949
Chikusichloa aquatica	NC_027184
Chimonocalamus longiusculus	NC_024714
Chionanthus retusus	NC_035000
Chionochloa macra	NC_025230
Chlamydomonas leiostraca	NC_032109
Chlamydomonas reinhardtii	NC_005353
Chloranthus japonicus	NC_026565
Chloranthus spicatus	NC_009598
Chlorella sorokiniana	NC_023835
Chlorella variabilis	NC_015359
Chlorella vulgaris	NC_001865
Chloris barbata	NC_029893
Chloris truncata	NC_032033
Chloris virgata	NC_032034
Chlorogalum pomeridianum	NC_032701
Chlorokybus atmophyticus	NC_008822
Chlorotetraedron incus	NC_029673
Chondrus crispus	NC_020795
Choreocolax polysiphoniae	NC_026522
Choricystis parasitica	NC_025539
Chromera velia	NC_014340
Chromerida sp. RM11	NC_014345
Chromochloris zofingiensis	NC_029672
Chrysanthemum indicum	NC_020320
Chrysanthemum x morifolium	NC_020092
Chrysobalanus icaco	NC_024061
Chrysopogon gryllus	NC_035035
Chrysopogon orientalis	NC_035047
Chrysopogon serrulatus	NC_029884
Chrysopogon zizanioides	NC_035034
Chuniophoenix nana	NC_029966
Chusquea circinata	NC_027490
Chusquea liebmannii	NC_026969
Chusquea spectabilis	NC_026959
Cicer arietinum	NC_011163
Cinnamomum verum	NC_035236
Cistanche deserticola	NC_021111
Cistanche phelypaea	NC_025642
Cistanthe longiscapa	NC_035140
Citrullus lanatus	NC_032008
Citrullus mucosospermus	NC_033899
Citrus aurantiifolia	NC_024929
Citrus depressa	NC_031894
Citrus limon	NC_034690
Citrus maxima	NC_034290
Citrus platymamma	NC_030194
Citrus reticulata	NC_034671
Citrus sinensis	NC_008334
Clausena excavata	NC_032685
Clematis terniflora	NC_028000
Clermontia fauriei	NC_035355
Cliftonaea pectinata	NC_035294
Closterium baillyanum	NC_030314
Coccinia grandis	NC_031834
Coccomyxa subellipsoidea C-169	NC_015084
Coccophora langsdorfii	NC_032288
Cochlearia borzaeana	NC_029253
Cochlearia islandica	NC_029254
Cochlearia pyrenaica	NC_029331
Cochlearia tridactylites	NC_029332
Cocos nucifera	NC_022417
Codium decorticatum	NC_032043
Coeloseira compressa	NC_030338
Coffea arabica	NC_008535
Coffea canephora	NC_030053
Coix lacryma-jobi	NC_013273
Colchicum autumnale	NC_030064
Coleataenia prionitis	NC_025231
Coleochaete scutata	NC_030358
Colobanthus quitensis	NC_028080
Colocasia esculenta	NC_016753
Colpothrinax cookii	NC_028026
Conopholis americana	NC_023131
Corallorhiza bulbosa	NC_025659
Corallorhiza macrantha	NC_025660
Corallorhiza mertensiana	NC_025661
Corallorhiza odontorhiza	NC_025664
Corallorhiza trifida	NC_025662
Corallorhiza wisteriana	NC_025663
Coreanomecon hylomeconoides	NC_031446
Coriandrum sativum	NC_029850
Cornus controversa	NC_030260
Corylus avellana	NC_031855
Corylus chinensis	NC_032351
Corylus fargesii	NC_031854
Corylus heterophylla	NC_031856
Corymbia eximia	NC_022409
Corymbia gummifera	NC_022407
Corymbia henryi	NC_028409
Corymbia maculata	NC_022408
Corymbia tessellaris	NC_022410
Corymbia torelliana	NC_028410
Corynocarpus laevigatus	NC_014807
Corypha lecomtei	NC_029965
Coscinodiscus radiatus	NC_024081
Cosmarium botrytis	NC_030357
Costaria costata	NC_028502
Couepia caryophylloides	NC_030547
Couepia grandiflora	NC_030548
Couepia guianensis	NC_024063
Couepia ovalifolia	NC_030549
Couepia paraensis	NC_030550
Couepia polyandra	NC_030551
Couepia rankiniae	NC_030552
Couepia sandwithii	NC_030553
Couepia subcordata	NC_030554
Crithmum maritimum	NC_015804
Crucihimalaya wallichii	NC_009271
Cryptoglena skujai	NC_027286
Cryptomeria japonica	NC_010548
Cryptomonas paramecium	NC_013703
Cucumis hystrix	NC_023544
Cucumis melo subsp. melo	NC_015983
Cucumis sativus	NC_007144
Cunninghamia lanceolata	NC_021437
Cupressus chengiana	NC_034788
Cupressus gigantea	NC_028155
Cupressus sempervirens	NC_026296
Curcuma flaviflora	NC_028729
Curcuma roscoeana	NC_022928
Cyanea fissa	NC_033363
Cyanea leptostegia	NC_035356
Cyanidioschyzon merolae strain 10D	NC_004799
Cyanidium caldarium	NC_001840
Cyanophora paradoxa	NC_001675
Cycas panzhihuaensis	NC_031413
Cycas revoluta	NC_020319
Cycas taitungensis	NC_009618
Cyclocarya paliurus	NC_034315
Cylindrocystis brebissonii	NC_030359
Cylindrotheca closterium	NC_024082
Cymbidium aloifolium	NC_021429
Cymbidium ensifolium	NC_028525
Cymbidium faberi	NC_027743
Cymbidium goeringii	NC_028524
Cymbidium kanran	NC_029711
Cymbidium lancifolium	NC_029712
Cymbidium macrorhizon	NC_029713
Cymbidium mannii	NC_021433
Cymbidium sinense	NC_021430
Cymbidium tortisepalum	NC_021431
